Scenario - Experiment_3_pilot.sce
Logfile written - 12/07/2018 13:13:06

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
157	Picture	10	677280	0	1	3332	2	0	next	other	0
158	Picture	10	680612	0	1	3333	2	0	next	other	0
159	Picture	10	683945	0	1	3332	2	0	next	other	0
160	Picture	10	687277	0	1	3332	2	0	next	other	0
162	Picture	10	698273	0	1	3332	3	0	next	other	0
163	Picture	10	701605	0	2	3333	3	0	next	other	0
164	Picture	10	704938	0	1	3332	2	0	next	other	0
165	Picture	10	708270	0	1	3332	2	0	next	other	0
166	Picture	10	711602	0	1	3333	2	0	next	other	0
167	Picture	10	714935	0	1	3332	2	0	next	other	0
168	Picture	10	718267	0	1	3332	2	0	next	other	0
169	Picture	10	721599	0	1	3332	2	0	next	other	0
170	Picture	10	724931	0	1	3333	2	0	next	other	0
171	Picture	10	728264	0	1	3332	2	0	next	other	0
172	Picture	10	731596	0	1	3332	2	0	next	other	0
173	Picture	10	734928	0	1	3332	2	0	next	other	0
174	Picture	10	738260	0	1	3333	2	0	next	other	0
175	Picture	10	741593	0	1	3332	2	0	next	other	0
176	Picture	10	744925	0	1	3332	2	0	next	other	0
177	Picture	10	748257	0	1	3332	2	0	next	other	0
178	Picture	10	751589	0	1	3333	2	0	next	other	0
179	Picture	10	754922	0	1	3332	2	0	next	other	0
180	Picture	10	758254	0	1	3332	2	0	next	other	0
181	Picture	10	761586	0	1	3332	2	0	next	other	0
182	Picture	10	764918	0	1	3333	2	0	next	other	0
183	Picture	10	768251	0	1	3332	2	0	next	other	0
184	Picture	10	771583	0	1	3332	2	0	next	other	0
185	Picture	10	774915	0	1	3332	2	0	next	other	0
186	Picture	10	778247	0	1	3333	2	0	next	other	0
187	Picture	10	781580	0	1	3332	2	0	next	other	0
188	Picture	10	784912	0	1	3332	2	0	next	other	0
189	Picture	10	788244	0	1	3332	2	0	next	other	0
190	Picture	10	791576	0	1	3333	2	0	next	other	0
191	Picture	10	794909	0	1	3332	2	0	next	other	0
192	Picture	10	798241	0	1	3332	2	0	next	other	0
193	Picture	10	801573	0	1	3332	2	0	next	other	0
194	Picture	10	804905	0	1	3333	2	0	next	other	0
195	Picture	10	808238	0	1	3332	2	0	next	other	0
196	Picture	10	811570	0	1	3332	2	0	next	other	0
197	Picture	10	814902	0	1	3332	2	0	next	other	0
198	Picture	10	818234	0	1	3333	2	0	next	other	0
199	Picture	10	821567	0	1	3332	2	0	next	other	0
200	Picture	10	824899	0	1	3332	2	0	next	other	0
201	Picture	10	828231	0	1	3332	2	0	next	other	0
202	Picture	10	831563	0	1	3333	2	0	next	other	0
203	Picture	10	834896	0	1	3332	2	0	next	other	0
204	Picture	10	838228	0	1	3332	2	0	next	other	0
205	Picture	10	841560	0	1	3332	3	0	next	other	0
206	Picture	10	844892	0	2	3333	3	0	next	other	0
207	Picture	10	848225	0	1	3332	2	0	next	other	0
208	Picture	10	851557	0	1	3332	2	0	next	other	0
209	Picture	10	854889	0	1	3332	3	0	next	other	0
210	Picture	10	858221	0	2	3333	3	0	next	other	0
211	Picture	10	861554	0	1	3332	2	0	next	other	0
212	Picture	10	864886	0	1	3332	2	0	next	other	0
213	Picture	10	868218	0	1	3332	3	0	next	other	0
215	Picture	10	879215	0	1	3332	2	0	next	other	0
216	Picture	10	882547	0	1	3332	2	0	next	other	0
217	Picture	10	885879	0	1	3332	2	0	next	other	0
218	Picture	10	889211	0	1	3333	2	0	next	other	0
219	Picture	10	892544	0	1	3332	2	0	next	other	0
220	Picture	10	895876	0	1	3332	2	0	next	other	0
221	Picture	10	899208	0	1	3332	2	0	next	other	0
222	Picture	10	902540	0	1	3333	2	0	next	other	0
223	Picture	10	905873	0	1	3332	2	0	next	other	0
224	Picture	10	909205	0	1	3332	2	0	next	other	0
225	Picture	10	912537	0	1	3332	3	0	next	other	0
226	Picture	10	915869	0	2	3333	3	0	next	other	0
227	Picture	10	919202	0	1	3332	2	0	next	other	0
228	Picture	10	922534	0	1	3332	2	0	next	other	0
229	Picture	10	925866	0	1	3332	3	0	next	other	0
230	Picture	10	929198	0	2	3333	3	0	next	other	0
231	Picture	10	932531	0	1	3332	2	0	next	other	0
232	Picture	10	935863	0	1	3332	2	0	next	other	0
233	Picture	10	939195	0	1	3333	2	0	next	other	0
234	Picture	10	942528	0	1	3332	2	0	next	other	0
235	Picture	10	945860	0	1	3332	2	0	next	other	0
236	Picture	10	949192	0	1	3332	2	0	next	other	0
237	Picture	10	952524	0	1	3332	3	0	next	other	0
238	Picture	10	955856	0	2	3333	3	0	next	other	0
239	Picture	10	959189	0	1	3332	2	0	next	other	0
240	Picture	10	962521	0	1	3332	2	0	next	other	0
241	Picture	10	965853	0	1	3333	2	0	next	other	0
242	Picture	10	969186	0	1	3332	2	0	next	other	0
243	Picture	10	972518	0	1	3332	2	0	next	other	0
244	Picture	10	975850	0	1	3332	2	0	next	other	0
245	Picture	10	979182	0	1	3333	2	0	next	other	0
246	Picture	10	982515	0	1	3332	2	0	next	other	0
247	Picture	10	985847	0	1	3332	2	0	next	other	0
248	Picture	10	989179	0	1	3332	2	0	next	other	0
249	Picture	10	992511	0	1	3333	2	0	next	other	0
250	Picture	10	995844	0	1	3332	2	0	next	other	0
251	Picture	10	999176	0	1	3332	2	0	next	other	0
252	Picture	10	1002508	0	1	3332	2	0	next	other	0
253	Picture	10	1005840	0	1	3333	2	0	next	other	0
254	Picture	10	1009173	0	1	3332	2	0	next	other	0
255	Picture	10	1012505	0	1	3332	2	0	next	other	0
256	Picture	10	1015837	0	1	3332	2	0	next	other	0
257	Picture	10	1019169	0	1	3333	2	0	next	other	0
258	Picture	10	1022502	0	1	3332	2	0	next	other	0
259	Picture	10	1025834	0	1	3332	2	0	next	other	0
260	Picture	10	1029166	0	1	3332	2	0	next	other	0
261	Picture	10	1032498	0	1	3333	2	0	next	other	0
262	Picture	10	1035831	0	1	3332	2	0	next	other	0
263	Picture	10	1039163	0	1	3332	2	0	next	other	0
264	Picture	10	1042495	0	1	3332	2	0	next	other	0
265	Picture	10	1045827	0	1	3333	2	0	next	other	0
266	Picture	10	1049160	0	1	3332	2	0	next	other	0
268	Picture	10	1060156	0	1	3332	2	0	next	other	0
269	Picture	10	1063488	0	1	3333	2	0	next	other	0
270	Picture	10	1066821	0	1	3332	2	0	next	other	0
271	Picture	10	1070153	0	1	3332	2	0	next	other	0
272	Picture	10	1073485	0	1	3332	2	0	next	other	0
273	Picture	10	1076817	0	1	3333	2	0	next	other	0
274	Picture	10	1080150	0	1	3332	2	0	next	other	0
275	Picture	10	1083482	0	1	3332	2	0	next	other	0
276	Picture	10	1086814	0	1	3332	2	0	next	other	0
277	Picture	10	1090146	0	1	3333	2	0	next	other	0
278	Picture	10	1093479	0	1	3332	2	0	next	other	0
279	Picture	10	1096811	0	1	3332	2	0	next	other	0
280	Picture	10	1100143	0	1	3332	2	0	next	other	0
281	Picture	10	1103475	0	1	3333	2	0	next	other	0
282	Picture	10	1106808	0	1	3332	2	0	next	other	0
283	Picture	10	1110140	0	1	3332	2	0	next	other	0
284	Picture	10	1113472	0	1	3332	2	0	next	other	0
285	Picture	10	1116804	0	1	3333	2	0	next	other	0
286	Picture	10	1120137	0	1	3332	2	0	next	other	0
287	Picture	10	1123469	0	1	3332	2	0	next	other	0
288	Picture	10	1126801	0	1	3332	2	0	next	other	0
289	Picture	10	1130133	0	1	3333	2	0	next	other	0
290	Picture	10	1133466	0	1	3332	2	0	next	other	0
291	Picture	10	1136798	0	1	3332	2	0	next	other	0
292	Picture	10	1140130	0	1	3332	2	0	next	other	0
293	Picture	10	1143462	0	1	3333	2	0	next	other	0
294	Picture	10	1146795	0	1	3332	2	0	next	other	0
295	Picture	10	1150127	0	1	3332	2	0	next	other	0
296	Picture	10	1153459	0	1	3332	3	0	next	other	0
297	Picture	10	1156791	0	2	3333	3	0	next	other	0
298	Picture	10	1160124	0	1	3332	2	0	next	other	0
299	Picture	10	1163456	0	1	3332	2	0	next	other	0
300	Picture	10	1166788	0	1	3332	3	0	next	other	0
301	Picture	10	1170120	0	2	3333	3	0	next	other	0
302	Picture	10	1173453	0	1	3332	2	0	next	other	0
303	Picture	10	1176785	0	1	3332	2	0	next	other	0
304	Picture	10	1180117	0	1	3332	3	0	next	other	0
305	Picture	10	1183449	0	2	3333	3	0	next	other	0
306	Picture	10	1186782	0	1	3332	2	0	next	other	0
307	Picture	10	1190114	0	1	3332	2	0	next	other	0
308	Picture	10	1193446	0	1	3332	3	0	next	other	0
309	Picture	10	1196778	0	2	3333	3	0	next	other	0
310	Picture	10	1200111	0	1	3332	2	0	next	other	0
311	Picture	10	1203443	0	1	3332	2	0	next	other	0
312	Picture	10	1206775	0	1	3333	2	0	next	other	0
313	Picture	10	1210108	0	1	3332	2	0	next	other	0
314	Picture	10	1213440	0	1	3332	2	0	next	other	0
315	Picture	10	1216772	0	1	3332	2	0	next	other	0
316	Picture	10	1220104	0	1	3333	2	0	next	other	0
317	Picture	10	1223437	0	1	3332	2	0	next	other	0
318	Picture	10	1226769	0	1	3332	2	0	next	other	0
319	Picture	10	1230101	0	1	3332	2	0	next	other	0
321	Picture	10	1241097	0	2	3333	3	0	next	other	0
322	Picture	10	1244430	0	1	3332	2	0	next	other	0
323	Picture	10	1247762	0	1	3332	2	0	next	other	0
324	Picture	10	1251094	0	1	3332	3	0	next	other	0
325	Picture	10	1254426	0	2	3333	3	0	next	other	0
326	Picture	10	1257759	0	1	3332	2	0	next	other	0
327	Picture	10	1261091	0	1	3332	2	0	next	other	0
328	Picture	10	1264423	0	1	3332	3	0	next	other	0
329	Picture	10	1267755	0	2	3333	3	0	next	other	0
330	Picture	10	1271088	0	1	3332	2	0	next	other	0
331	Picture	10	1274420	0	1	3332	2	0	next	other	0
332	Picture	10	1277752	0	1	3333	2	0	next	other	0
333	Picture	10	1281085	0	1	3332	2	0	next	other	0
334	Picture	10	1284417	0	1	3332	2	0	next	other	0
335	Picture	10	1287749	0	1	3332	2	0	next	other	0
336	Picture	10	1291081	0	1	3333	2	0	next	other	0
337	Picture	10	1294414	0	1	3332	2	0	next	other	0
338	Picture	10	1297746	0	1	3332	2	0	next	other	0
339	Picture	10	1301078	0	1	3332	2	0	next	other	0
340	Picture	10	1304410	0	1	3333	2	0	next	other	0
341	Picture	10	1307743	0	1	3332	2	0	next	other	0
342	Picture	10	1311075	0	1	3332	2	0	next	other	0
343	Picture	10	1314407	0	1	3332	2	0	next	other	0
344	Picture	10	1317739	0	1	3333	2	0	next	other	0
345	Picture	10	1321072	0	1	3332	2	0	next	other	0
346	Picture	10	1324404	0	1	3332	2	0	next	other	0
347	Picture	10	1327736	0	1	3332	2	0	next	other	0
348	Picture	10	1331068	0	1	3333	2	0	next	other	0
349	Picture	10	1334401	0	1	3332	2	0	next	other	0
350	Picture	10	1337733	0	1	3332	2	0	next	other	0
351	Picture	10	1341065	0	1	3332	2	0	next	other	0
352	Picture	10	1344397	0	1	3333	2	0	next	other	0
353	Picture	10	1347730	0	1	3332	2	0	next	other	0
354	Picture	10	1351062	0	1	3332	2	0	next	other	0
355	Picture	10	1354394	0	1	3332	2	0	next	other	0
356	Picture	10	1357726	0	1	3333	2	0	next	other	0
357	Picture	10	1361059	0	1	3332	2	0	next	other	0
358	Picture	10	1364391	0	1	3332	2	0	next	other	0
359	Picture	10	1367723	0	1	3332	2	0	next	other	0
360	Picture	10	1371055	0	1	3333	2	0	next	other	0
361	Picture	10	1374388	0	1	3332	2	0	next	other	0
362	Picture	10	1377720	0	1	3332	2	0	next	other	0
363	Picture	10	1381052	0	1	3332	2	0	next	other	0
364	Picture	10	1384384	0	1	3333	2	0	next	other	0
365	Picture	10	1387717	0	1	3332	2	0	next	other	0
366	Picture	10	1391049	0	1	3332	2	0	next	other	0
367	Picture	10	1394381	0	1	3332	3	0	next	other	0
368	Picture	10	1397713	0	2	3333	3	0	next	other	0
369	Picture	10	1401046	0	1	3332	2	0	next	other	0
370	Picture	10	1404378	0	1	3332	2	0	next	other	0
371	Picture	10	1407710	0	1	3332	3	0	next	other	0
372	Picture	10	1411042	0	2	3333	3	0	next	other	0
374	Picture	10	1422039	0	1	3332	2	0	next	other	0
375	Picture	10	1425371	0	1	3332	2	0	next	other	0
376	Picture	10	1428703	0	1	3333	2	0	next	other	0
377	Picture	10	1432036	0	1	3332	2	0	next	other	0
378	Picture	10	1435368	0	1	3332	2	0	next	other	0
379	Picture	10	1438700	0	1	3332	2	0	next	other	0
380	Picture	10	1442032	0	1	3333	2	0	next	other	0
381	Picture	10	1445365	0	1	3332	2	0	next	other	0
382	Picture	10	1448697	0	1	3332	2	0	next	other	0
383	Picture	10	1452029	0	1	3332	2	0	next	other	0
384	Picture	10	1455361	0	1	3333	2	0	next	other	0
385	Picture	10	1458694	0	1	3332	2	0	next	other	0
386	Picture	10	1462026	0	1	3332	2	0	next	other	0
387	Picture	10	1465358	0	1	3332	3	0	next	other	0
388	Picture	10	1468690	0	2	3333	3	0	next	other	0
389	Picture	10	1472023	0	1	3332	2	0	next	other	0
390	Picture	10	1475355	0	1	3332	2	0	next	other	0
391	Picture	10	1478687	0	1	3332	3	0	next	other	0
392	Picture	10	1482019	0	2	3333	3	0	next	other	0
393	Picture	10	1485352	0	1	3332	2	0	next	other	0
394	Picture	10	1488684	0	1	3332	2	0	next	other	0
395	Picture	10	1492016	0	1	3332	3	0	next	other	0
396	Picture	10	1495348	0	2	3333	3	0	next	other	0
397	Picture	10	1498681	0	1	3332	2	0	next	other	0
398	Picture	10	1502013	0	1	3332	2	0	next	other	0
399	Picture	10	1505345	0	1	3332	3	0	next	other	0
400	Picture	10	1508677	0	2	3333	3	0	next	other	0
401	Picture	10	1512010	0	1	3332	2	0	next	other	0
402	Picture	10	1515342	0	1	3332	2	0	next	other	0
403	Picture	10	1518674	0	1	3333	2	0	next	other	0
404	Picture	10	1522007	0	1	3332	2	0	next	other	0
405	Picture	10	1525339	0	1	3332	2	0	next	other	0
406	Picture	10	1528671	0	1	3332	2	0	next	other	0
407	Picture	10	1532003	0	1	3333	2	0	next	other	0
408	Picture	10	1535336	0	1	3332	2	0	next	other	0
409	Picture	10	1538668	0	1	3332	2	0	next	other	0
410	Picture	10	1542000	0	1	3332	2	0	next	other	0
411	Picture	10	1545332	0	1	3333	2	0	next	other	0
412	Picture	10	1548665	0	1	3332	2	0	next	other	0
413	Picture	10	1551997	0	1	3332	2	0	next	other	0
414	Picture	10	1555329	0	1	3332	2	0	next	other	0
415	Picture	10	1558661	0	1	3333	2	0	next	other	0
416	Picture	10	1561994	0	1	3332	2	0	next	other	0
417	Picture	10	1565326	0	1	3332	2	0	next	other	0
418	Picture	10	1568658	0	1	3332	2	0	next	other	0
419	Picture	10	1571990	0	1	3333	2	0	next	other	0
420	Picture	10	1575323	0	1	3332	2	0	next	other	0
421	Picture	10	1578655	0	1	3332	2	0	next	other	0
422	Picture	10	1581987	0	1	3332	2	0	next	other	0
423	Picture	10	1585319	0	1	3333	2	0	next	other	0
424	Picture	10	1588652	0	1	3332	2	0	next	other	0
425	Picture	10	1591984	0	1	3332	2	0	next	other	0
427	Quit		1935565	332585
